Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans,Weak Scaling
39,16,OMP,0.000946,4.02E-05,1.69E-03,2.49E-02,4.34E-03,6.38E-02,
40,16,OMP,0.0009736,2.60E-05,1.64E-03,3.85E-02,4.11E-03,9.62E-02,
41,16,OMP,0.0006934,2.60E-05,2.31E-03,3.85E-02,5.63E-03,9.38E-02,
42,16,OMP,0.0010126,2.20E-05,1.58E-03,4.55E-02,3.76E-03,1.08E-01,
43,16,OMP,0.000916,2.84E-05,1.75E-03,3.52E-02,4.06E-03,8.19E-02,
44,16,OMP,0.0009024,4.92E-05,1.77E-03,2.03E-02,4.03E-03,4.62E-02,
45,16,OMP,0.0011032,2.10E-05,1.45E-03,4.76E-02,3.22E-03,1.06E-01,
46,16,OMP,0.0010386,2.26E-05,1.54E-03,4.42E-02,3.35E-03,9.62E-02,
47,16,OMP,0.0009306,3.86E-05,1.72E-03,2.59E-02,3.66E-03,5.51E-02,
48,16,OMP,0.00096,2.50E-05,1.67E-03,4.00E-02,3.47E-03,8.33E-02,
49,16,OMP,0.0010612,3.30E-05,1.51E-03,3.03E-02,3.08E-03,6.18E-02,
50,16,OMP,0.0010404,3.28E-05,1.54E-03,3.05E-02,3.08E-03,6.10E-02,
51,16,OMP,0.0009016,3.72E-05,1.77E-03,2.69E-02,3.48E-03,5.27E-02,
52,16,OMP,0.0010344,3.32E-05,1.55E-03,3.01E-02,2.97E-03,5.79E-02,
53,16,OMP,0.0009194,3.24E-05,1.74E-03,3.09E-02,3.28E-03,5.82E-02,
54,16,OMP,0.0009552,2.64E-05,1.68E-03,3.79E-02,3.10E-03,7.01E-02,
55,16,OMP,0.0011058,2.96E-05,1.45E-03,3.38E-02,2.63E-03,6.14E-02,
56,16,OMP,0.0009856,3.10E-05,1.62E-03,3.23E-02,2.90E-03,5.76E-02,
