Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose,SpeedupSym,SpeedupMatTrans,EfficiencySym,EfficiencyMatTrans
79,4,OMP,0.0108238,0.010482000000000002,0.00011086679354755261,3.816065636328944e-05,0.0001403377133513324,4.8304628307961306e-05
80,4,OMP,0.0116708,0.0107474,0.00010282071494670459,3.721830396188845e-05,0.00012852589368338074,4.652287995236056e-05
81,4,OMP,0.0115374,0.0105314,0.00010400956888033699,3.798165486070228e-05,0.00012840687516090985,4.689093192679294e-05
82,4,OMP,0.0108542,0.009533799999999999,0.00011055628236074515,4.195598816841134e-05,0.0001348247345862746,5.116583922976993e-05
83,4,OMP,0.0119716,0.008560799999999999,0.00010023722810651875,4.672460517708626e-05,0.0001207677447066491,5.629470503263405e-05
84,4,OMP,0.013468,0.0067484,8.91000891000891e-05,5.927330922885425e-05,0.00010607153464296321,7.056346336768363e-05
85,4,OMP,0.012920999999999998,0.0087246,9.287206872533086e-05,4.58473740916489e-05,0.00010926125732391865,5.3938087166645766e-05
86,4,OMP,0.012876599999999998,0.008668600000000002,9.319230231582871e-05,4.614355259211406e-05,0.0001083631422277078,5.365529371176053e-05
87,4,OMP,0.0113624,0.010532399999999999,0.00010561149053016968,3.797804868785842e-05,0.00012139251785076976,4.365292952627405e-05
88,4,OMP,0.012600799999999999,0.0096238,9.523204875880897e-05,4.156362351669818e-05,0.00010821823722591929,4.72313903598843e-05
89,4,OMP,0.0120508,0.0105652,9.95784512231553e-05,3.786014462575247e-05,0.00011188590025073629,4.25394883435421e-05
90,4,OMP,0.012828,0.008652,9.354536950420954e-05,4.623208506703652e-05,0.0001039392994491217,5.136898340781835e-05
91,4,OMP,0.011547,0.009593,0.00010392309690828786,4.1697070780777646e-05,0.00011420120539372293,4.582095690195346e-05
92,4,OMP,0.013076399999999998,0.008667,9.176837661741765e-05,4.6152071074189456e-05,9.974823545371484e-05,5.0165294645858105e-05
93,4,OMP,0.01263,0.009638200000000001,9.501187648456056e-05,4.1501525181050396e-05,0.00010216330804791459,4.4625295893602576e-05
94,4,OMP,0.011748200000000002,0.0105708,0.00010214330705980488,3.784008778900367e-05,0.00010866309261681371,4.025541254149326e-05
95,4,OMP,0.0129376,0.008663599999999999,9.27529062577294e-05,4.6170183295627686e-05,9.763463816603095e-05,4.860019294276598e-05
96,4,OMP,0.013502200000000002,0.0076544,8.887440565241218e-05,5.225752508361204e-05,9.257750588792936e-05,5.4434921962095875e-05
1,8,SEQ,1.2e-06,1e-06,,,,
1,8,OMP,3.8799999999999994e-05,9e-06,0.030927835051546396,0.1111111111111111,3.0927835051546397,11.11111111111111
2,8,OMP,0.00015480000000000002,1.5399999999999998e-05,0.007751937984496122,0.06493506493506494,0.3875968992248061,3.246753246753247
3,8,OMP,0.0001976,1.9600000000000002e-05,0.006072874493927125,0.0510204081632653,0.20242914979757082,1.7006802721088434
4,8,OMP,0.0002516,3.52e-05,0.0047694753577106515,0.028409090909090905,0.11923688394276628,0.7102272727272726
5,8,OMP,0.000276,3.4e-05,0.004347826086956522,0.029411764705882353,0.08695652173913043,0.5882352941176471
6,8,OMP,0.0003164,3.2200000000000003e-05,0.0037926675094816687,0.03105590062111801,0.0632111251580278,0.5175983436853001
7,8,OMP,0.0003646,4.0600000000000004e-05,0.003291278113000548,0.02463054187192118,0.04701825875715069,0.3518648838845883
8,8,OMP,0.0003776,3.72e-05,0.003177966101694915,0.026881720430107524,0.03972457627118644,0.33602150537634407
9,8,OMP,0.0004248,3.3e-05,0.0028248587570621464,0.0303030303030303,0.03138731952291274,0.33670033670033667
