Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans
31,16,OMP,0.000617,2.18E-05,3.57E-03,4.59E-02,1.15E-02,1.48E-01
32,16,OMP,0.0005768,2.52E-05,3.81E-03,3.97E-02,1.19E-02,1.24E-01
33,16,OMP,0.0006344,2.42E-05,3.47E-03,4.13E-02,1.05E-02,1.25E-01
34,16,OMP,0.0006576,2.46E-05,3.35E-03,4.07E-02,9.84E-03,1.20E-01
35,16,OMP,0.0006262,2.50E-05,3.51E-03,4.00E-02,1.00E-02,1.14E-01
36,16,OMP,0.0006972,2.66E-05,3.16E-03,3.76E-02,8.77E-03,1.04E-01
37,16,OMP,0.0007944,2.64E-05,2.77E-03,3.79E-02,7.48E-03,1.02E-01
38,16,OMP,0.0008576,2.68E-05,2.57E-03,3.73E-02,6.75E-03,9.82E-02
39,16,OMP,0.0007216,2.46E-05,3.05E-03,4.07E-02,7.82E-03,1.04E-01
40,16,OMP,0.0007752,2.54E-05,2.84E-03,3.94E-02,7.09E-03,9.84E-02
41,16,OMP,0.00097,2.80E-05,2.27E-03,3.57E-02,5.53E-03,8.71E-02
42,16,OMP,0.0007632,2.62E-05,2.88E-03,3.82E-02,6.86E-03,9.09E-02
43,16,OMP,0.0007676,2.92E-05,2.87E-03,3.42E-02,6.67E-03,7.96E-02
44,16,OMP,0.0009268,2.94E-05,2.37E-03,3.40E-02,5.39E-03,7.73E-02
45,16,OMP,0.0008836,3.24E-05,2.49E-03,3.09E-02,5.53E-03,6.86E-02
46,16,OMP,0.0008534,2.94E-05,2.58E-03,3.40E-02,5.60E-03,7.39E-02
47,16,OMP,0.0010824,2.94E-05,2.03E-03,3.40E-02,4.32E-03,7.24E-02
48,16,OMP,0.0010116,3.06E-05,2.17E-03,3.27E-02,4.53E-03,6.81E-02
49,16,OMP,0.0009592,2.92E-05,2.29E-03,3.42E-02,4.68E-03,6.99E-02
50,16,OMP,0.0008472,3.30E-05,2.60E-03,3.03E-02,5.19E-03,6.06E-02
51,16,OMP,0.0009158,3.24E-05,2.40E-03,3.09E-02,4.71E-03,6.05E-02
52,16,OMP,0.000912,3.06E-05,2.41E-03,3.27E-02,4.64E-03,6.28E-02
53,16,OMP,0.0009112,3.10E-05,2.41E-03,3.23E-02,4.56E-03,6.09E-02
54,16,OMP,0.0009272,3.56E-05,2.37E-03,2.81E-02,4.39E-03,5.20E-02
55,16,OMP,0.0009538,3.28E-05,2.31E-03,3.05E-02,4.19E-03,5.54E-02
56,16,OMP,0.001003,3.66E-05,2.19E-03,2.73E-02,3.92E-03,4.88E-02
57,16,OMP,0.00111,3.62E-05,1.98E-03,2.76E-02,3.48E-03,4.85E-02
58,16,OMP,0.00107,3.22E-05,2.06E-03,3.11E-02,3.54E-03,5.35E-02
59,16,OMP,0.001026,3.68E-05,2.14E-03,2.72E-02,3.63E-03,4.61E-02
60,16,OMP,0.0010712,3.94E-05,2.05E-03,2.54E-02,3.42E-03,4.23E-02
61,16,OMP,0.0010858,3.74E-05,2.03E-03,2.67E-02,3.32E-03,4.38E-02
62,16,OMP,0.0010902,4.50E-05,2.02E-03,2.22E-02,3.25E-03,3.58E-02
63,16,OMP,0.0012158,4.10E-05,1.81E-03,2.44E-02,2.87E-03,3.87E-02
64,16,OMP,0.001162,3.62E-05,1.89E-03,2.76E-02,2.96E-03,4.32E-02
65,16,OMP,0.0012392,3.74E-05,1.78E-03,2.67E-02,2.73E-03,4.11E-02
