Threads,Dim,CheckSym,MatTranspose,Version,Sym,Trans
11,64,0.000217,2.7e-05,OMP,0.0004056,4.38e-05
12,64,0.000466,2.8e-05,OMP,0.0003294,2.82e-05
13,64,0.000553,2.4e-05,OMP,0.0004156,3.42e-05
14,64,0.000297,2.7e-05,OMP,0.0003826,3.94e-05
15,64,0.000321,2.5e-05,OMP,0.0003086,2.9e-05
16,64,0.000311,2.7e-05,OMP,0.0003004,2.86e-05
17,64,0.000358,2.9e-05,OMP,0.0003432,2.94e-05
18,64,0.000412,3.5e-05,OMP,0.0005626,4.92e-05
19,64,0.000534,2.8e-05,OMP,0.00044,3.02e-05
20,64,0.000376,2.6e-05,OMP,0.000413,3.14e-05
21,64,0.000422,2.9e-05,OMP,0.0005008,3.58e-05
22,64,0.000443,2.8e-05,OMP,0.0004646,3.7e-05
23,64,0.000435,3.6e-05,OMP,0.0004346,3.46e-05
24,64,0.000621,3.7e-05,OMP,0.0005672,3.92e-05
25,64,0.000436,3.1e-05,OMP,0.0004628,3.3e-05
26,64,0.000497,3.9e-05,OMP,0.0007152,3.78e-05
27,64,0.00104,6.5e-05,OMP,0.0008368,5.54e-05
28,64,0.000498,3.6e-05,OMP,0.0005156,3.48e-05
29,64,0.000758,4.1e-05,OMP,0.0007278,4.24e-05
30,64,0.000597,3.6e-05,OMP,0.0005658,3.38e-05
31,64,0.000889,3.4e-05,OMP,0.0006228,3.64e-05
32,64,0.000546,4.5e-05,OMP,0.0007274,4.14e-05
33,64,0.000555,3.7e-05,OMP,0.0006242,3.86e-05
